,time,metric_name,metric_value,date,year
319844,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_ios,0,2018-01-17,2018
319845,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_jamboard,0,2018-01-17,2018
319846,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_unknown_client,0,2018-01-17,2018
319847,2018-01-17 00:00:00-05:00,google.meet:total_call_minutes_web,0,2018-01-17,2018
319848,2018-01-17 00:00:00-05:00,google.meet:total_meeting_minutes,0,2018-01-17,2018
320317,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes,0,2018-01-18,2018
320318,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes_with_11_to_15_calls,0,2018-01-18,2018
320319,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes_with_16_to_25_calls,0,2018-01-18,2018
320320,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes_with_26_to_50_calls,0,2018-01-18,2018
320321,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes_with_2_calls,0,2018-01-18,2018
320322,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes_with_3_to_5_calls,0,2018-01-18,2018
320323,2018-01-18 00:00:00-05:00,google.meet:average_meeting_minutes_with_6_to_10_calls,0,2018-01-18,2018
320324,2018-01-18 00:00:00-05:00,google.meet:lonely_meetings,0,2018-01-18,2018
320325,2018-01-18 00:00:00-05:00,google.meet:max_concurrent_usage_chromebase,0,2018-01-18,2018
320326,2018-01-18 00:00:00-05:00,google.meet:max_concurrent_usage_chromebox,0,2018-01-18,2018
320327,2018-01-18 00:00:00-05:00,google.meet:num_1day_active_users,0,2018-01-18,2018
320328,2018-01-18 00:00:00-05:00,google.meet:num_30day_active_users,0,2018-01-18,2018
320329,2018-01-18 00:00:00-05:00,google.meet:num_7day_active_users,0,2018-01-18,2018
320330,2018-01-18 00:00:00-05:00,google.meet:num_calls,0,2018-01-18,2018
320331,2018-01-18 00:00:00-05:00,google.meet:num_calls_android,0,2018-01-18,2018
320332,2018-01-18 00:00:00-05:00,google.meet:num_calls_by_external_users,0,2018-01-18,2018
320333,2018-01-18 00:00:00-05:00,google.meet:num_calls_by_internal_users,0,2018-01-18,2018
320334,2018-01-18 00:00:00-05:00,google.meet:num_calls_by_pstn_in_users,0,2018-01-18,2018
320335,2018-01-18 00:00:00-05:00,google.meet:num_calls_chromebase,0,2018-01-18,2018
320336,2018-01-18 00:00:00-05:00,google.meet:num_calls_chromebox,0,2018-01-18,2018
320337,2018-01-18 00:00:00-05:00,google.meet:num_calls_ios,0,2018-01-18,2018
