day,emails_received
2018/01/28,190919.0
2018/01/29,466030.0
2018/01/30,382823.0
2018/01/31,603995.0
2018/02/01,478509.0
2018/02/02,373926.0
2018/02/03,158116.0
2018/02/04,177155.0
2018/02/05,473295.0
2018/02/06,376108.0
2018/02/07,404442.0
2018/02/08,510882.0
2018/02/09,357169.0
2018/02/10,157656.0
2018/02/11,177111.0
2018/02/12,273514.0
2018/02/13,273514.0
2018/02/14,386641.0
2018/02/15,397264.0
2018/02/16,333034.0
2018/02/17,148990.0
2018/02/18,238112.0
2018/02/20,436761.0
2018/02/21,424419.0
2018/02/22,422647.0
2018/02/23,409769.0
2018/02/24,152589.0
2018/02/25,180294.0
2018/02/26,433102.0
2018/02/27,0.0
2018/02/28,0.0
2018/03/01,0.0
2018/03/02,0.0
2018/03/03,156801.0
2018/03/04,150553.0
2018/03/05,284542.0
2018/03/06,298836.0
2018/03/07,287750.0
2018/03/08,262916.0
2018/03/09,265408.0
2018/03/10,163402.0
2018/03/11,172068.0
2018/03/12,0.0
2018/03/13,523538.0
2018/03/14,415876.0
2018/03/15,424688.0
2018/03/16,333903.0
2018/03/17,167362.0
2018/03/18,188339.0
2018/03/19,395182.0
2018/03/20,397545.0
2018/03/21,444355.0
2018/03/22,397221.0
2018/03/23,312213.0
2018/03/24,144009.0
2018/03/25,165828.0
2018/03/26,438775.0
2018/03/27,395707.0
2018/03/28,393422.0
2018/03/29,354019.0
2018/03/30,197206.0
2018/03/31,147928.0
2018/04/01,157171.0
2018/04/02,440154.0
2018/04/03,450664.0
2018/04/04,426964.0
2018/04/05,404495.0
2018/04/06,308184.0
2018/04/07,158288.0
2018/04/08,180652.0
2018/04/09,450262.0
2018/04/10,384031.0
2018/04/11,396429.0
2018/04/12,393928.0
2018/04/13,368465.0
2018/04/14,155077.0
2018/04/15,221098.0
2018/04/16,473210.0
2018/04/17,446467.0
2018/04/18,426976.0
2018/04/19,397619.0
2018/04/20,378272.0
2018/04/21,161580.0
2018/04/22,201308.0
2018/04/23,433097.0
2018/04/24,398067.0
2018/04/25,426779.0
2018/04/26,372255.0
2018/04/27,342353.0
2018/04/28,156885.0
2018/04/29,150556.0
2018/04/30,368025.0
2018/05/01,375576.0
2018/05/02,374440.0
2018/05/03,349643.0
2018/05/04,276821.0
2018/05/05,152769.0
2018/05/06,150008.0
2018/05/07,283606.0
2018/05/08,293919.0
2018/05/09,264931.0
2018/05/10,263525.0
2018/05/11,235016.0
2018/05/12,123875.0
2018/05/13,132188.0
2018/05/14,256881.0
2018/05/15,268631.0
2018/05/16,277691.0
2018/05/17,276554.0
2018/05/18,247157.0
2018/05/19,119730.0
2018/05/20,120697.0
2018/05/21,254607.0
2018/05/22,264522.0
